ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt
NA,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,NA,1,NA,1,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,3,NA,1,1,2,1,1,1
2,1,2,NA,NA,1,NA,1,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,2,1,1,NA,NA,NA,NA
3,NA,2,NA,NA,2,3,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,3,5,NA,1,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,NA,1,NA,NA,NA,NA,1,NA,NA
1,NA,1,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA,NA
4,1,3,1,NA,1,NA,2,NA,1
2,1,1,1,NA,NA,1,NA,NA,NA
NA,NA,2,NA,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,1,NA,2,NA,1,NA,1
2,NA,3,4,NA,1,1,1,NA,NA
2,2,2,1,1,1,1,1,1,1
3,2,2,NA,NA,2,1,2,NA,1
NA,1,1,NA,NA,NA,NA,1,NA,NA
NA,NA,2,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,2,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,1,NA,NA,NA
NA,NA,1,1,NA,1,NA,NA,NA,NA
1,NA,1,3,1,1,2,NA,NA,NA
2,2,1,1,1,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,NA,1,1,NA,NA,NA,NA
1,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,1,2,2,NA,2,1,NA,NA,NA
NA,1,NA,NA,NA,NA,1,NA,NA,NA
1,1,NA,1,NA,2,NA,NA,NA,NA
NA,1,1,1,NA,2,1,NA,NA,NA
2,1,1,1,NA,2,1,NA,NA,NA
1,NA,3,1,1,2,NA,2,1,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA
