ID,V1,V2,V3,V4,V5,V6,V7,V8
1,13500,23,46986,Diesel,90,2000,3,210
2,13750,23,72937,Diesel,90,2000,3,210
3,13950,24,41711,Diesel,90,2000,3,210
4,14950,26,48000,Diesel,90,2000,3,210
5,13750,30,38500,Diesel,90,2000,3,210
6,12950,32,61000,Diesel,90,2000,3,210
7,16900,27,94612,Diesel,90,2000,3,210
8,18600,30,75889,Diesel,90,2000,3,210
9,21500,27,19700,Petrol,192,1800,3,100
10,12950,23,71138,Diesel,69,1900,3,185
11,20950,25,31461,Petrol,192,1800,3,100
12,19950,22,43610,Petrol,192,1800,3,100
13,19600,25,32189,Petrol,192,1800,3,100
14,21500,31,23000,Petrol,192,1800,3,100
15,22500,32,34131,Petrol,192,1800,3,100
16,22000,28,18739,Petrol,192,1800,3,100
17,22750,30,34000,Petrol,192,1800,3,100
18,17950,24,21716,Petrol,110,1600,3,85
19,16750,24,25563,Petrol,110,1600,3,19
20,16950,30,64359,Petrol,110,1600,3,85
21,15950,30,67660,Petrol,110,1600,3,85
22,16950,29,43905,Petrol,110,1600,3,100
23,15950,28,56349,Petrol,110,1600,3,85
24,16950,28,32220,Petrol,110,1600,3,85
25,16250,29,25813,Petrol,110,1600,3,85
26,15950,25,28450,Petrol,110,1600,3,85
27,17495,27,34545,Petrol,110,1600,3,85
28,15750,29,41415,Petrol,110,1600,3,85
29,16950,28,44142,Petrol,110,1600,3,85
30,17950,30,11090,Petrol,110,1600,3,85
31,12950,29,9750,Petrol,97,1400,3,19
32,15750,22,35199,Petrol,97,1400,3,85
33,15950,27,29510,Petrol,97,1400,3,85
34,14950,26,32692,Petrol,97,1400,3,85
35,15500,22,41000,Petrol,97,1400,3,85
36,15750,26,43000,Petrol,97,1400,3,85
37,15950,25,25000,Petrol,97,1400,3,85
38,14950,23,10000,Petrol,97,1400,3,85
39,15750,32,25329,Petrol,97,1400,3,85
40,14750,27,27500,Petrol,97,1400,3,85
41,13950,22,49059,Petrol,97,1400,3,85
42,16750,27,44068,Petrol,97,1400,3,85
43,13950,22,46961,Petrol,97,1400,3,85
44,16950,27,110404,Diesel,90,2000,5,234
45,16950,22,100250,Diesel,90,2000,5,234
46,19000,23,84000,Diesel,90,2000,5,234
47,17950,27,79375,Diesel,90,2000,5,234
48,15800,22,75048,Petrol,97,1400,5,85
49,17950,22,72215,Diesel,90,2000,5,234
50,21950,31,64982,Petrol,192,1800,5,100
51,17950,22,62636,Diesel,90,2000,5,234
52,15750,30,57086,Petrol,97,1400,5,85
53,20500,26,56000,Petrol,110,1600,5,100
54,21950,27,49866,Petrol,192,1800,5,100
55,15500,25,49163,Petrol,110,1600,5,100
56,13250,32,45725,Petrol,110,1600,5,85
57,15250,28,43210,Petrol,97,1400,5,85
58,15250,26,43000,Petrol,97,1400,5,85
59,18950,23,39704,Petrol,110,1600,5,100
60,15999,30,38950,Petrol,110,1600,5,85
61,14950,22,37400,Petrol,97,1400,5,85
62,16500,27,37177,Petrol,110,1600,5,85
63,18750,31,36544,Petrol,110,1600,5,85
64,17950,30,33511,Petrol,110,1600,5,85
65,17950,27,32809,Petrol,97,1400,5,85
66,16950,26,32181,Petrol,110,1600,5,19
67,18950,28,30993,Petrol,110,1600,5,85
68,14950,22,30400,Petrol,97,1400,5,85
69,22250,22,30000,Diesel,110,2000,5,234
70,15950,25,29719,Petrol,97,1400,5,85
71,15950,28,29206,Petrol,97,1400,5,85
72,12995,32,29198,Petrol,97,1400,5,85
73,18950,28,28817,Petrol,110,1598,5,85
74,15750,23,28227,Petrol,97,1400,5,85
75,19950,28,28000,Petrol,110,1600,5,85
76,16950,23,28000,Petrol,110,1600,5,85
77,18750,31,25266,Petrol,110,1600,5,85
78,18450,27,23489,Petrol,110,1600,5,85
79,16895,29,22575,Petrol,110,1600,5,85
80,14900,30,22000,Petrol,97,1400,5,85
81,18950,25,20019,Petrol,110,16000,5,100
82,17250,29,20000,Petrol,110,1600,5,85
83,15450,25,17003,Petrol,97,1400,5,85
84,17950,31,16238,Petrol,110,1600,5,100
85,16650,25,15414,Petrol,97,1400,5,85
86,17450,28,8537,Petrol,110,1600,5,85
87,14900,30,7000,Petrol,97,1400,5,85
88,17950,20,66966,Diesel,90,2000,3,210
89,15950,19,51884,Petrol,97,1400,3,85
90,21950,19,50005,Diesel,110,2000,3,234
91,16450,20,48110,Petrol,97,1400,3,85
92,22250,20,37500,Diesel,90,2000,3,234
93,19950,16,34472,Diesel,90,1995,3,234
94,15950,20,33329,Petrol,97,1400,3,85
95,18900,20,31850,Petrol,110,1600,3,85
96,19950,17,30351,Diesel,90,1995,3,234
97,15950,19,29435,Petrol,97,1400,3,85
98,15950,19,25948,Petrol,97,1400,3,85
99,18750,11,24500,Petrol,110,1600,3,85
100,17450,18,23902,Petrol,97,1400,3,85
101,18990,20,23175,Petrol,110,1600,3,85
102,16250,19,19200,Petrol,97,1400,3,85
103,18500,13,18000,Petrol,71,1400,3,85
104,18500,11,16123,Petrol,110,1600,3,85
105,19450,11,14635,Petrol,110,1600,3,100
106,16950,19,13748,Petrol,97,1400,3,85
107,18800,14,11500,Petrol,110,1600,3,69
108,17450,17,10000,Petrol,97,1400,3,85
109,17950,20,7187,Petrol,110,1600,3,85
111,32500,4,1,Diesel,116,2000,5,283
112,31000,4,4000,Diesel,116,2000,5,283
113,31275,4,1500,Diesel,116,2000,5,283
114,24950,8,13253,Diesel,116,2000,5,234
115,24950,8,13253,Diesel,116,2000,5,234
116,22950,7,10000,Diesel,116,2000,5,234
117,24990,8,6000,Diesel,90,2000,5,234
118,21950,8,10841,Diesel,90,2000,5,234
119,17900,7,1,Petrol,110,1600,3,85
120,19250,20,63000,Diesel,90,2000,5,234
121,22250,17,57313,Diesel,110,2000,5,234
122,18950,13,57037,Petrol,110,1600,5,85
123,19950,19,51099,Diesel,90,2000,5,234
124,16350,14,40010,Petrol,110,1600,5,85
125,18950,20,39115,Petrol,110,1600,5,85
126,16950,17,36012,Petrol,110,1600,5,85
127,21750,16,36000,Petrol,110,1600,5,85
128,15950,20,36000,Petrol,110,1600,5,19
129,16500,20,35000,Petrol,97,1400,5,85
130,17950,17,33740,Petrol,97,1400,5,85
131,15850,13,33477,Petrol,110,1600,5,19
132,16250,20,32627,Petrol,97,1400,5,85
133,15950,20,29797,Petrol,97,1400,5,85
134,16250,19,29441,Petrol,97,1400,5,85
135,15950,13,29371,Petrol,110,1600,4,19
136,16500,20,29000,Petrol,97,1400,5,85
137,16500,19,27821,Petrol,97,1400,5,85
138,18450,19,27371,Petrol,97,1400,5,85
139,16250,13,25170,Petrol,110,1600,5,19
140,23000,11,25000,Diesel,116,2000,5,64
141,19900,20,23000,Petrol,110,1600,5,85
142,16450,20,22588,Petrol,97,1400,5,85
143,23950,19,21684,Petrol,192,1800,5,19
144,19950,13,21428,Petrol,110,1600,5,85
145,18500,16,20629,Petrol,110,1600,4,85
146,18950,15,20270,Petrol,110,1600,5,85
147,16450,16,20105,Petrol,97,1400,5,85
148,20500,20,20000,Petrol,110,1600,5,100
149,24500,13,19988,Petrol,110,1600,5,85
150,19450,19,18328,Petrol,110,1600,5,85
151,20950,14,17896,Petrol,110,1600,4,85
152,17200,20,17300,Petrol,97,1400,5,85
153,19950,19,17038,Petrol,110,1600,5,85
