ID,V9,V10,V11,V12,V13,V14
609,0,Yes,3,5,1000,Red
694,0,0,12,5,1000,Green
698,0,0,3,5,1000,Grey
706,0,1,3,5,1000,Red
854,0,0,3,5,1000,Blue
931,0,1,3,5,1000,Red
961,0,0,3,5,1000,Red
1005,0,1,3,5,1000,Blue
1026,0,1,3,5,1000,Grey
1035,0,1,12,5,1000,Red
1275,0,1,12,5,1000,Blue
1276,0,1,3,5,10000,Red
1323,0,0,3,5,1000,Red
1382,0,1,3,5,1000,Blue
1398,0,0,3,5,1000,Blue
1417,0,0,3,5,1000,Grey
1432,0,1,12,5,1000,Silver
845,0,0,3,5,1010,Red
1146,0,0,3,5,1010,Grey
1315,0,0,6,5,1010,Blue
1410,0,0,3,5,1010,Grey
422,0,0,3,5,1015,Blue
614,0,0,3,5,1015,Green
650,0,0,3,5,1015,Silver
674,0,0,3,5,1015,Silver
678,0,0,6,5,1015,Green
697,0,1,3,5,1015,Blue
708,0,0,3,5,1015,Blue
716,0,0,3,5,1015,Silver
727,0,1,,5,1015,Red
729,0,1,3,5,1015,Grey
742,0,1,3,5,1015,Red
744,0,1,3,5,1015,Blue
748,0,0,3,5,1015,Blue
753,0,1,3,5,1015,Red
759,0,1,3,5,1015,Red
764,0,0,3,5,1015,Green
765,0,0,3,5,1015,Black
767,0,0,3,5,1015,Grey
773,0,0,3,5,1015,Green
774,0,1,3,5,1015,Silver
775,0,1,3,5,1015,Grey
781,0,0,,5,1015,Black
782,0,1,12,5,1015,Violet
788,0,1,3,5,1015,Silver
792,0,0,3,5,1015,Black
795,0,1,3,5,1015,Black
808,0,0,3,5,1015,Blue
811,0,0,3,5,1015,Black
813,0,0,3,5,1015,Green
814,0,1,3,5,1015,Red
828,0,0,3,5,1015,Blue
838,0,1,3,5,1015,Black
848,0,1,3,5,1015,Green
867,0,1,3,5,1015,Red
869,0,0,3,5,1015,Grey
882,0,0,3,5,1015,Silver
894,0,0,3,5,1015,Blue
897,0,1,3,5,1015,Red
901,0,1,3,5,1015,Blue
902,0,1,3,5,1015,Silver
904,0,0,3,5,1015,Silver
913,0,1,3,5,1015,Green
929,0,0,3,5,1015,Red
938,0,0,6,5,1015,Silver
952,0,0,3,5,1015,Red
954,0,0,3,5,1015,Black
957,0,0,3,5,1015,Blue
962,0,0,3,5,1015,Grey
975,0,0,3,5,1015,Blue
978,0,1,3,5,1015,Blue
980,0,0,3,5,1015,Grey
984,0,0,12,5,1015,Blue
992,0,0,3,5,1015,White
993,0,1,,5,1015,Red
999,0,0,3,5,1015,Blue
1013,0,0,3,5,1015,Red
1018,0,0,3,5,1015,Green
1021,0,0,3,5,1015,Green
1030,0,1,3,5,1015,Green
1038,0,0,3,5,1015,Black
1045,0,0,3,5,1015,Red
1066,0,0,3,5,1015,Black
1067,0,0,3,5,1015,Blue
1070,0,0,3,5,1015,Grey
1080,0,0,3,5,1015,Blue
1094,0,No,3,5,1015,Blue
1109,0,0,3,5,1015,Red
1126,0,0,3,5,1015,Blue
1127,0,0,3,5,1015,Black
1131,0,1,3,5,1015,Blue
1139,0,0,3,5,1015,Black
1141,0,0,3,5,1015,White
1142,0,0,3,5,1015,Green
1148,0,0,3,5,1015,Blue
1150,0,1,3,5,1015,Blue
1154,0,0,3,5,1015,Grey
